Commit Hash,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,NUC,EXP,REXP,SEXP,BUGLABEL
29dfff549e5ba8a608bfad48345e3d46c20e1d53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2d3584d7c1eb967cb4dd17a29796731e8b831337,1,1,18,1.402787829,2893,1,10253,0,1,83547,1,127,2.07E-05,0,0
bed619996ad86a4e613faecf89622667f1017275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a57e864e848941931de183dd8fa53db23dd4afc6,1,1,1,0,1,1,392,0,1,64404,1,126,1.75E-05,0,0
b693e87de6f2df3370e5d304bf9f0321871be9dd,1,1,1,0,3,3,155,0,1,62366,1,125,1.66E-05,0,0
016adcf06fb2d6f299aaab16cc22d704d18fd904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44d0f8eac65c8bfda5745bfe4978faba9966f30a,1,1,1,0,1,2,223,1,1,76764,1,26,1.65E-05,0,0
dd6d87b65e12c6e0c33a74e64489c0135bd2c1a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788265e3be963c8bab95434cf542573ec10d9ebf,1,1,1,0,4,13,401,1,1,12386,1,124,3.67E-05,0,0
4bc708f361f6a6158f3ac95e4f4e4c004ba5d6b5,1,1,4,1.319035274,6,14,773,0,1,10637.25,4,123,3.73E-05,0,1
dea0e70d7ac3bd4035724dba01ed2d2b2b72169d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a458a90c2f5fe543e858bc27c7d4fbed9eca0a09,1,1,1,0,5,0,151,0,0,0,0,121,3.79E-05,0,0
0f6c28a00ca3f77829cf5c1cd85b71c7ff6dbc1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625c4940ab1a6f22d07c0c376b3bd2ca7d67d2eb,1,1,1,0,1,1,407,1,1,8181,1,120,3.89E-05,0,0
60c548c4d7b9d2fb1a57674eb46503e108ebd707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29a19dcf916fbc81724928c5d19289e55b0ff088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758fa060a2c012201fada803f4243c9cb286d9fc,1,1,1,0,1,0,118,0,0,0,0,25,4.15E-05,0,0
0a6c284fa91c8caec7ecab003beb5ac24ece8526,1,1,1,0,1,1,7694,0,0,0,0,24,4.15E-05,0,0
8339e046703b9198d9f4e64ffcb9fa7bad77d8d4,1,1,1,0,2,4,7696,0,1,468,1,23,3.80E-05,0,0
a40472a6e0f47dfc9347b1eafc3e06e6e467f76d,1,1,1,0,8,3,7691,0,2,66408,1,22,3.72E-05,0,0
b9a144d637e135b36266a783bc572a6ef15b4caf,1,1,4,1.411629031,660,0,4,0,0,0,0,119,3.71E-05,0,1
523b6549b67af5ad01ab3ed80d5a14a2b7dfabc4,1,1,2,0.101066964,152,0,2,0,0,0,0,118,3.69E-05,0,0
9c20ce1f88f3760214a3dacfb50e5af67b9cd389,1,1,1,0,3,4,7692,0,1,856,1,21,3.16E-05,0,0
aa948d653157984cf37f634a652f929d7efa9d3f,1,1,1,0,9,8,825,0,3,97468,1,67,3.00E-05,0,0
9322867d90bd447a1c5131462764765e37b69913,1,1,2,0.757878463,62,2,16101,0,2,25051,1,20,2.99E-05,0,0
1e186bb2abf5d612f0fb384b80c09c4e62c2cb11,1,1,1,0,18,18,118,0,1,89834,1,19,2.58E-05,0,0
1f38f0b568f867cb1eb56ad068e2066a9410951c,1,1,1,0,3,3,177,0,0,0,0,66,2.57E-05,0,0
6438964feef821862d681d3b73ea2ec9ac30a7bb,1,1,2,0.503258335,7,2,293,0,0,0,0,65,2.50E-05,0,0
2fb06562bba4a12f2c2e8deb43a3d910c52df8c7,1,1,2,0.588343666,0,445,0,0,1,2252,2,18,2.43E-05,0,0
06361db1961ff79f42e839448294741fe598a7b7,1,1,1,0,91,50,77,0,1,86686,1,17,2.40E-05,0,0
a59453bdc40e43fa91ce31f5bbfec29a57816d58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ff2aeaf626dcd3419ba90282270e081d1dc709e4,1,1,151,4.293636065,123946,0,76,0,0,0,0,117,1.98E-05,0,0
5420c66382d343437174e4e4c7388cc0d1ac34f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854dc7bacded047c2b4d57c972ddbcebfd523c8e,1,1,1,0,6,5,77,1,1,3514,1,16,2.59E-05,0,0
969315950e1a9eef6d553b3e560f434546c0b277,1,1,1,0,10,10,12,0,1,77181,1,15,2.47E-05,0,0
3d8ac475a0e72697caec329ade3db20c15e63dcb,1,1,2,0.974489403,77,51,729,0,7,764864,1,14,2.21E-05,0,1
8a479ad5988794d042118a0b7a8f65d4548879a1,1,1,3,0.656570638,447,2,9,0,1,84150,1,13,2.21E-05,0,0
f679d60e462437cff7aa5840dbeca4d7c8508a5a,1,1,2,0,0,5,0,0,1,10205,1,12,2.20E-05,0,0
