Commit Hash,NS,ND,NF,Entropy,LA,LD,LT,FIX,NDEV,AGE,NUC,EXP,REXP,SEXP,BUGLABEL
0004b2c3d9e5565b0a748b241cfebe5918967b58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00120640c26fc97643ee6c9bf5a9f5c910e1de6c,1,1,1,0,1,0,261,1,0,0,0,160,3.36E-05,0,1
0053986e9e627a60c6eea4c7762ca79b7cd142ca,1,1,1,0,11,11,225,0,0,0,0,22,1.66E-05,0,0
0060267d5cf6211905d018290bc9066d06c28370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008a358a67b8c49ec5e0e06cd74f7a94504afc5d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00aab1a2d7a393990012b05e186cedbd80f88144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00b530a9e8548eb5a0535ac1fa033e07afaf6daa,1,1,2,0.591672779,11,3,68,1,1,10310,2,247,3.27E-05,0,0
00df45aadd0c1e5efe542fd8054758681d4b8ff1,1,1,1,0,3,2,154,0,1,54777,1,164,1.59E-05,0,0
0110ad649822eed62336e483a421a83be0c81475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
014645c7d53d08ac63ba8fd691c2c10a9a648249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
018a287c65fc78a0709a76053ecb3ec2ca06442b,1,1,3,1.167651684,20,9,41,0,1,1385,1,356,2.71E-05,0,0
019c4b35b47aa795e739197fa899a969ef5f18cb,1,1,1,0,0,9,26,0,1,136,1,205,1.71E-05,0,0
01c3c05f5b631922a17da5b7b28b6f9187fe4e3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01ebb05c336842d3475bd3eb2e2d37d2c9de501b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0219fe251072b42768656364a001121b301432e3,1,1,4,1.354048988,27,0,40,0,0,0,0,146,3.09E-05,0,0
02274df386d49abc81d5b2c4b90309f3c19f7312,1,1,1,0,1,0,274,1,0,0,0,171,3.06E-05,0,0
028295f6de9d3efd5054b9fce622c0a0099e49c1,1,1,2,0.977417818,13,21,545,1,1,68917.5,2,423,3.68E-05,0,0
028c1985012d6af46402adaa700eaef439f070d9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
030c14f5db5699168948c7d9f76dde5d5d10e050,1,1,1,0,8,1,13,1,1,23047,1,108,3.13E-05,0,1
032afcbb0c318ac763c6d78a006072a70af0cc25,1,1,2,0.634309555,22,3,135,0,2,53848.5,2,164,1.58E-05,0,1
03318de6b7b057525a99ebf07a447d0224c4791f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03553ebfab3bfa7361415a0a0500c5801907b5ca,1,1,2,0.543564443,8,0,345,1,0,0,0,142,2.18E-05,0,0
035a1a450cc1a8254d0cff206080014bfe0589e7,1,1,1,0,10,10,732,1,1,122005,1,300,2.08E-05,0,1
0367a3993b10aed6f521f6c8fc5caf0952cd220c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03783be918f7b1b83cfd5ee8ee1edeeaeec29956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03b3a06fff06a4a85e054b8adbb9b00d6d3b80c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03b599f55196007b73584eda10662f6c926366d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03bc855cfe191ae187bff47479fdd2a7e4ae8c9a,1,1,1,0,25,7,168,1,1,26469,1,469,3.67E-05,0,1
03c2e0ee7efee6bc744385e165bbb6f87b817c05,1,1,2,0.954434003,16,0,345,0,0,0,0,388,2.23E-05,0,0
03e9048af5f150b6c0fafb4d65797705fd2194af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03fc7aa167ed66d937372d9f9cf96d8a61bdfce7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03fd8c058f9f600b789637e0410243d1a8b3c50d,1,1,1,0,1,0,28,0,0,0,0,86,2.53E-05,0,0
040aa800f5a0f8d6b988ee858541099e1d8e572a,1,1,1,0,2,2,334,0,2,9365,1,44,2.62E-05,0,0
043e0de396d05006a20e07ca2c0f6e29055cf12a,1,1,1,0,1,1,86,0,1,215,1,199,2.00E-05,0,0
0441bbd7012fc5758317255e845d9480696b62ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0476e69ade69620e5c4c5841567b06e32b4ad24e,1,1,1,0,19,0,286,0,0,0,0,44,6.20E-05,0,0
04b4463b72261d3a2b7244257c577733d9574637,1,1,7,2.061028388,93,37,1315,0,1,72493,3,209,2.17E-05,0,1
04cc51ef81fbbfa197d0d73d54e0faab00bbb6fe,1,1,1,0,8,10,276,1,1,145736,1,170,2.99E-05,0,0
04dc062fc0de3d31de3e5d745e894e0e1f14cc1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500bbf6b88d15e7d2d5b80175f3c310721a064d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0509831855258cac3db2ac15bbe0bb2b583f5fc8,1,1,3,0.490341503,29,7,130,0,2,114747.6667,3,89,2.62E-05,0,0
0512c3e0508cb859fc61adcc37c134dff3bb4e0f,1,1,1,0,15,12,347,0,1,109906,1,51,6.38E-05,0,1
05363e3156e0424cbdb5673d5b8fcf62a59c88ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05777eeb734cea573ca0d68df4bc4a2f6363cd8d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
057a11e9f53b31618548abbebc50c7613b442ced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0585e7172c7863771f3889fe3ef59b5aff3afd10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05c43f154e4ce3afb35e446a1d06f447846e4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05f682cd0e8b138fa080fdfb6c575d5df693f7eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0611a1c8d2e73760f6ec0672d17e4e1a416dc669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
063b79211cb0f1152f68441db5e038a9e39c8f2e,1,1,4,1.568421509,25,60,51,0,2,2842,3,411,1.97E-05,0,0
063e82f6179e33100c9bec3bed95f0d861a24b45,1,1,1,0,5,0,428,0,0,0,0,217,3.49E-05,0,0
0642f7b6f9c40a9edee626fc52745dd1d08a56c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06787c4745ce6a5d891de26f4bb0143949e983f7,1,1,2,0.918295834,3,0,146,0,0,0,0,285,2.20E-05,0,0
068d847a711f330cdcf893b0273bbce0248f3bbf,1,1,1,0,14,2,280,0,1,13625,1,424,3.62E-05,0,1
06c42ffc23daaf49859ce3585e7783dec833ed89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06d701be5a84fbe61db75d50ead9d29ed3f042e1,1,1,5,1.564546954,78,0,244,0,0,0,0,350,2.35E-05,0,1
06fac98fd7612fb1059fb44778fd4e5a626ecf46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
